,column,desc
0,wrkstat," Last week were you working full time, part time, going to school, keeping house, or what?"
1,cohort, Birth cohort of respondent.
2,zodiac, ASTROLOGICAL SIGN OF RESPONDENT
3,hrs1," IF WORKING, FULL OR PART TIME: How many hours did you work last week, at all jobs?"
4,hrs2," IF WITH A JOB, BUT NOT AT WORK: How many hours a week do you usually work, at all jobs?"
5,evwork," IF RETIRED, IN SCHOOL, KEEPING HOUSE, OR OTHER: Did you ever work for as long as one year?"
6,wrkslf, (Are/Were) you self employed or (do/did) you work for someone else?
7,occ10, RESPONDENT'S OCCUPATION
8,prestg10, PRESTIGE OF RESPONDENT'S OCCUPATION
9,prestg105plus, R'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD
10,indus10, RESPONDENT'S INDUSTRY
11,marital," Are you currently married, widowed, divorced, separated, or have you never been married?"
12,martype, CODE TYPE OF MARRIAGE
13,divorce, IF CURRENTLY MARRIED OR WIDOWED: Have you ever been divorced or legally separated?
14,widowed," IF CURRENTLY MARRIED, SEPARATED, OR DIVORCED: Have you ever been widowed?"
15,spwrksta," Last week was your (wife/husband) working full time, part time, going to school, keeping house, or what?"
16,satjob," On the whole, how satisfied are you with the work you do -would you say you are very satisfied, moderately satisfied, a little dissatisfied, or very dissatisfied?"
17,sphrs1," (Last week was your (wife/husband) working full time, part time, going to school, keeping house, or what?...) IF WORKING, FULL OR PART TIME: How many hours did (he/she) work last week, at all jobs?"
18,sphrs2," IF WITH A JOB, BUT NOT AT WORK: How many hours a week does your spouse usually work, at all jobs?"
19,spevwork," IF RETIRED, IN SCHOOL, KEEPING HOUSE, OR OTHER: Did your spouse ever work for as long as one year?"
20,spwrkslf," At this job, (is/was) your spouse self-employed or (does/did) your spouse work for someone else?"
21,spocc10, RESPONDENT'S SPOUSE'S OCCUPATION
22,sppres10, PRESTIGE OF RESPONDENT'S SPOUSE'S OCCUPATION
23,sppres105plus, SPOUSE OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD
24,spind10, RESPONDENT'S SPOUSE'S INDUSTRY
25,cowrksta," Last week was your partner working full time, part time, going to school, keeping house, or what?"
26,cohrs1," IF WORKING, FULL OR PART TIME: How many hours did your partner work last week, at all jobs?"
27,cohrs2," IF WITH A JOB, BUT NOT AT WORK: How many hours a week does your partner usually work, at all jobs?"
28,coevwork," IF RETIRED, IN SCHOOL, KEEPING HOUSE, OR OTHER: Did your partner ever work for as long as one year?"
29,coocc10, RESPONDENT'S PARTNER'S OCCUPATION
30,copres10, PRESTIGE OF RESPONDENT'S PARTNER'S OCCUPATION
31,copres105plus, PARTNER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD
32,coind10, RESPONDENT'S PARTNER'S INDUSTRY
33,cowrkslf," At this job, (is/was) your partner self-employed or (does/did) your partner work for someone else?"
34,pawrkslf2, Was he self-employed or did he work for someone else?
35,pawrkslf," Was your [father/stepfather/male relative you were living with when you were 16] an employee, self-employed without employees, or self-employed with employees?"
36,paocc10, FATHER'S OCCUPATION
37,papres10, PRESTIGE OF RESPONDENT'S FATHER'S OCCUPATION
38,papres105plus, FATHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
39,paind10, FATHER'S INDUSTRY
40,mawrkslf," At this job, was [mother/stepmother/female realtive you were living with when you were 16] an employee, self-employed without employees, or self-employed with employees?"
41,maocc10, MOTHER'S OCCUPATION
42,mapres10, PRESTIGE OF RESPONDENT'S MOTHER'S OCCUPATION
43,mapres105plus, MOTHERS OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD
44,maind10, MOTHER'S INDUSTRY CODE
45,sibs," How many brothers and sisters did you have? Please count those born alive, but no longer living, as well as those alive now. Also include stepbrothers and stepsisters, and children adopted by your parents."
46,childs, How many children have you ever had? Please count all that were born alive at any time (including any you had from a previous marriage).
47,age, RESPONDENT'S AGE
48,agekdbrn, How old were you when your first child was born?
49,educ, RESPONDENT'S EDUCATION
50,paeduc, What is the highest grade in elementary school or high school that your father finished and got credit for?
51,maeduc, What is the highest grade in elementary school or high school that your mother finished and got credit for?
52,speduc, What is the highest grade in elementary school or high school that your spouse finished and got credit for?
53,coeduc, What is the highest grade in elementary school or high school that your partner finished and got credit for?
54,degree, RESPONDENT'S DEGREE
55,padeg, RESPONDENT'S FATHER'S (SUBSTITUTE FATHER'S) DEGREE
56,madeg, RESPONDENT'S MOTHER'S (SUBSTITUTE MOTHER'S) DEGREE
57,spdeg, RESPONDENT'S SPOUSE'S DEGREE
58,codeg, RESPONDENT'S PARTNER'S DEGREE
59,major1," What was your major or field of study when you received your (RESPONDENT'S COLLEGE DEGREE) degree? [IF THE RESPONDENT RECEIVED MORE THAN ONE GRADUATE LEVEL DEGREE, ASK ABOUT THE HIGHEST DEGREE OBTAINED (E.G. ABOUT A Ph.D. RATHER THAN AN M.B.A). [COUNT UP TO 2 MENTIONS]"
60,major2," What was your major or field of study when you received your (RESPONDENT'S COLLEGE DEGREE) degree? [IF THE RESPONDENT RECEIVED MORE THAN ONE GRADUATE LEVEL DEGREE, ASK ABOUT THE HIGHEST DEGREE OBTAINED (E.G. ABOUT A Ph.D. RATHER THAN AN M.B.A)."
61,sex, CODE RESPONDENT'S SEX
62,race, What race do you consider yourself? RECORD VERBATIM AND CODE. CODE WITHOUT ASKING ONLY IF THERE IS NO DOUBT IN YOUR MIND.
63,res16, Which of these categories comes closest to the type of place you were living in when you were 16 years old?
64,reg16, In what state or foreign country were you living when you were 16 years old?
65,mobile16," IF STATE NAMED IS SAME STATE R. LIVES IN NOW, ASK MOBILE16: When you were 16 years old, were you living in this same (city/town/county)?"
66,family16, Were you living with both your own mother and father around the time you were 16?
67,famdif16, IF NOT LIVING WITH BOTH OWN MOTHER AND FATHER: What happened?
68,famdif16y, Which of the following best describes your situation?
69,mawrkgrw," Did your mother ever work for pay for as long as a year, while you were growing up?"
70,incom16," Thinking about the time when you were 16 years old, compared with American families in general then, would you say your family income was: far below average, below average, average, above average, or far above average? (PROBE: Just your best guess.)"
71,born, Were you born in this country?
72,parborn," Were both your parents born in this country? (IF THE RESPONDENT IS UNCERTAIN OF PARENT, USE SAM E PERSONS AS IN PAOCC16 to PAIND16, PAEDUC, MAEDUC, PADEG, AND MADEG.)"
73,maborn, Was(your mother/ your stepmother/ the female relative you were living with at 16) born in this country?
74,paborn, Was(your father/ your stepfather/ the male relative you were living with at 16) born in this country?
75,granborn, (Were all of your four grandparents born in this country?...) IF NO: How many were born outside the United States?
76,hompop," Household Size and Composition (see Appendix D: Recodes, for information about these variables)"
77,babies, NUMBER OF MEMBERS UNDER 6 YEARS OF AGE.
78,preteen, NUMBER OF MEMBERS 6 TO 12 YEARS. 6-12 YEARS
79,teens, NUMBER OF MEMBERS 13 TO 17 YEARS OLD. 13-17 YEARS
